,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,publishedAt,updatedAt
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,@Jakub Chmiel Thanks man!! :D,@Jakub Chmiel Thanks man!! :D,UgjpiV5DBNK0m3gCoAEC,True,none,0,2015-04-29T02:16:21.000Z,2015-04-29T02:16:21.000Z
value,Iftekhar Khan,https://yt3.ggpht.com/a/AGF-l78hnYKg3l36LcKC_VRvacZuFOg0AEKR2sdh7w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCv6aFHUm-WO7AJp6UKQf17w,UCv6aFHUm-WO7AJp6UKQf17w,q4PWBf04V54,10eittaf <br />Guys do yourself a favor<br />use Double Edge blade Not only you will save money buy you will get lovely sweet fabulous shave,"10eittaf 
Guys do yourself a favor
use Double Edge blade Not only you will save money buy you will get lovely sweet fabulous shave",UgjLTV0biHG26HgCoAEC,True,none,5,2017-04-16T20:58:02.000Z,2017-04-16T20:58:02.000Z
value,Scott Gibson,https://yt3.ggpht.com/a/AGF-l7-psldP_a2VPmfs7mVknv_2-kc8Mk9VzYcxeQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCtANWqSR49ufiQduCqLOLmQ,UCtANWqSR49ufiQduCqLOLmQ,q4PWBf04V54,"+Chris Coyle The best place for info on traditional wet shaving is the Badger&amp;Blade Forum.It was on their advice that I got my KentBK4 badger hair brush.Using the Kent brush and Geo.F Trumper shave cream provides a luxury shaving experience that has to be felt to be believed!Unfortunately I have been permanently banned from Badger and Blade.A moderator chastised me for what he considered an off topic post. I,wrote him back and said&quot;If I had wanted to deal wit assholes,I would have gone to the DMV.For some reason he took offense at that. c&#39;est la vie!","+Chris Coyle The best place for info on traditional wet shaving is the Badger&Blade Forum.It was on their advice that I got my KentBK4 badger hair brush.Using the Kent brush and Geo.F Trumper shave cream provides a luxury shaving experience that has to be felt to be believed!Unfortunately I have been permanently banned from Badger and Blade.A moderator chastised me for what he considered an off topic post. I,wrote him back and said""If I had wanted to deal wit assholes,I would have gone to the DMV.For some reason he took offense at that. c'est la vie!",UgjLTV0biHG26HgCoAEC,True,none,0,2015-09-15T20:00:12.000Z,2015-09-15T20:00:12.000Z
value,Scott Gibson,https://yt3.ggpht.com/a/AGF-l7-psldP_a2VPmfs7mVknv_2-kc8Mk9VzYcxeQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCtANWqSR49ufiQduCqLOLmQ,UCtANWqSR49ufiQduCqLOLmQ,q4PWBf04V54,"that was always my issue with electric shavers.My wife gave me aBraun Cooltec CT5cc. And Iloveit.The Cooltec may sound like a gimmick,but it works.The Cooltecs are basically Series3 shavers with the cooling technology,so it won.&#39;tshave as fast as a Series 5 shaver.With repeated passes and patience,it will shave as close.My wife insists I shave every day whether Imwant to or not,so My Cooltec doesn&#39;t have to deal with3daygrowths,or longer.I now feel I have an electric shaver I can stay with.Of course I&#39;m not getting rid of my Merkur razors either.","that was always my issue with electric shavers.My wife gave me aBraun Cooltec CT5cc. And Iloveit.The Cooltec may sound like a gimmick,but it works.The Cooltecs are basically Series3 shavers with the cooling technology,so it won.'tshave as fast as a Series 5 shaver.With repeated passes and patience,it will shave as close.My wife insists I shave every day whether Imwant to or not,so My Cooltec doesn't have to deal with3daygrowths,or longer.I now feel I have an electric shaver I can stay with.Of course I'm not getting rid of my Merkur razors either.",UgjLTV0biHG26HgCoAEC,True,none,3,2015-09-15T19:34:20.000Z,2015-09-15T19:34:20.000Z
value,Chris Shaves,https://yt3.ggpht.com/a/AGF-l79NPxull5yIJEYwBjl5U6AbZ8Ul9iUTM7exgQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC2juIpDdq9N92UosE0IStvg,UC2juIpDdq9N92UosE0IStvg,q4PWBf04V54,@Mark Humphreys  This razor is a cartridge razor and they tend to give irritation and ingrown hairs buy a safety razor and some DE blades and a decent soap and shaving brush. you will spend a little in the beginning but save a lot in the end as 100 blades cost as little as $12  and a soap will last upward of 6 months . If you need help getting put in the right direction come check out the facebook group Shave the Man  ! lots of gents that can  give you info on a good beginner setup :),@Mark Humphreys  This razor is a cartridge razor and they tend to give irritation and ingrown hairs buy a safety razor and some DE blades and a decent soap and shaving brush. you will spend a little in the beginning but save a lot in the end as 100 blades cost as little as $12  and a soap will last upward of 6 months . If you need help getting put in the right direction come check out the facebook group Shave the Man  ! lots of gents that can  give you info on a good beginner setup :),UgjLTV0biHG26HgCoAEC,True,none,0,2015-07-17T21:30:07.000Z,2015-07-17T21:30:07.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,"@10eittaf You know what&#39;s funny, is that this razor actually gave me severe razor burn after this video. But now I shave with it, and I just don&#39;t do it as rough, and it works great. My face isn&#39;t nearly as irritated after.","@10eittaf You know what's funny, is that this razor actually gave me severe razor burn after this video. But now I shave with it, and I just don't do it as rough, and it works great. My face isn't nearly as irritated after.",UgjLTV0biHG26HgCoAEC,True,none,5,2015-07-11T17:55:37.000Z,2015-07-11T17:55:37.000Z
value,Maylen Diaz,https://yt3.ggpht.com/a/AGF-l7_XE_TP4NyCkQjRPczJBTPFCiH1g_Ez9lnPxw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCGg6Dm3bDdgJ2OA6a_9yJlA,UCGg6Dm3bDdgJ2OA6a_9yJlA,q4PWBf04V54,xoxo,xoxo,UgimXGUxRHm1tXgCoAEC,True,none,0,2018-03-04T08:49:16.000Z,2018-03-04T08:49:16.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,"+ilia djondric No way! Man, I might just have to! I&#39;ll Google it now. haha","+ilia djondric No way! Man, I might just have to! I'll Google it now. haha",UgimXGUxRHm1tXgCoAEC,True,none,0,2015-09-29T01:25:21.000Z,2015-09-29T01:25:21.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,+Brian Ryle Espuerta Spots or blank spots? lol,+Brian Ryle Espuerta Spots or blank spots? lol,UgjwLsfyM4RuT3gCoAEC,True,none,1,2016-04-22T04:32:05.000Z,2016-04-22T04:32:05.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,6 months!! Oh man! How exciting for you! I bet the countdown has already begun! ,6 months!! Oh man! How exciting for you! I bet the countdown has already begun! ,UgjAOsWpStnYF3gCoAEC,True,none,0,2015-05-08T01:24:26.000Z,2015-05-08T01:24:26.000Z
value,JP Goes Global,https://yt3.ggpht.com/a/AGF-l7-iOvzCT55Xi1rgyk62GZSgxVQAhTPiXD4XqA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC2EenZ5XNqMbr07EC_GjvcA,UC2EenZ5XNqMbr07EC_GjvcA,q4PWBf04V54,"@MarksBucket Haha! No worries. Hope you had a blast. ...Well, if we&#39;re going to organize something, we got 6 months left...","@MarksBucket Haha! No worries. Hope you had a blast. ...Well, if we're going to organize something, we got 6 months left...",UgjAOsWpStnYF3gCoAEC,True,none,0,2015-05-07T17:52:10.000Z,2015-05-07T17:52:10.000Z
